'MUNICIPIO','NOMBRE','ESTADO'
1,'Aguascalientes','01'
2,'Asientos','01'
3,'Calvillo','01'
4,'Cosío','01'
5,'El Llano','01'
6,'Jesús María','01'
7,'Pabellón de Arteaga','01'
8,'Rincón de Romos','01'
9,'San Francisco de los Romo','01'
10,'San José de Gracia','01'
11,'Tepezalá','01'
12,'Ensenada','02'
13,'Mexicali','02'
14,'Playas de Rosarito','02'
15,'Tecate','02'
16,'Tijuana','02'
17,'Comondú','03'
18,'La Paz','03'
19,'Loreto','03'
20,'Los Cabos','03'
21,'Mulegé','03'
22,'Calakmul','04'
23,'Calkiní','04'
24,'Campeche','04'
25,'Candelaria','04'
26,'Carmen','04'
27,'Champotón','04'
28,'Escárcega','04'
29,'Hecelchakán','04'
30,'Hopelchén','04'
31,'Palizada','04'
32,'Tenabo','04'
33,'Abasolo','05'
34,'Acuña','05'
35,'Allende','05'
36,'Arteaga','05'
37,'Candela','05'
38,'Castaños','05'
39,'Cuatro Ciénegas','05'
40,'Escobedo','05'
41,'Francisco I. Madero','05'
42,'Frontera','05'
43,'General Cepeda','05'
44,'Guerrero','05'
45,'Hidalgo','05'
46,'Jiménez','05'
47,'Juárez','05'
48,'Lamadrid','05'
49,'Matamoros','05'
50,'Monclova','05'
51,'Morelos','05'
52,'Múzquiz','05'
53,'Nadadores','05'
54,'Nava','05'
55,'Ocampo','05'
56,'Parras','05'
57,'Piedras Negras','05'
58,'Progreso','05'
59,'Ramos Arizpe','05'
60,'Sabinas','05'
61,'Sacramento','05'
62,'Saltillo','05'
63,'San Buenaventura','05'
64,'San Juan de Sabinas','05'
65,'San Pedro','05'
66,'Sierra Mojada','05'
67,'Torreón','05'
68,'Viesca','05'
69,'Villa Unión','05'
70,'Zaragoza','05'
71,'Armería','06'
72,'Colima','06'
73,'Comala','06'
74,'Coquimatlán','06'
75,'Cuauhtémoc','06'
76,'Ixtlahuacán','06'
77,'Manzanillo','06'
78,'Minatitlán','06'
79,'Tecomán','06'
80,'Villa de Álvarez','06'
81,'Acacoyagua','07'
82,'Acala','07'
83,'Acapetahua','07'
84,'Aldama','07'
85,'Altamirano','07'
86,'Amatán','07'
87,'Amatenango de la Frontera','07'
88,'Amatenango del Valle','07'
89,'Angel Albino Corzo','07'
90,'Arriaga','07'
91,'Bejucal de Ocampo','07'
92,'Bella Vista','07'
93,'Benemérito de las Américas','07'
94,'Berriozábal','07'
95,'Bochil','07'
96,'Cacahoatán','07'
97,'Catazajá','07'
98,'Chalchihuitán','07'
99,'Chamula','07'
100,'Chanal','07'
101,'Chapultenango','07'
102,'Chenalhó','07'
103,'Chiapa de Corzo','07'
104,'Chiapilla','07'
105,'Chicoasén','07'
106,'Chicomuselo','07'
107,'Chilón','07'
108,'Cintalapa','07'
109,'Coapilla','07'
110,'Comitán de Domínguez','07'
111,'Copainalá','07'
112,'El Bosque','07'
113,'El Porvenir','07'
114,'Escuintla','07'
115,'Francisco León','07'
116,'Frontera Comalapa','07'
117,'Frontera Hidalgo','07'
118,'Huehuetán','07'
119,'Huitiupán','07'
120,'Huixtán','07'
121,'Huixtla','07'
122,'Ixhuatán','07'
123,'Ixtacomitán','07'
124,'Ixtapa','07'
125,'Ixtapangajoya','07'
126,'Jiquipilas','07'
127,'Jitotol','07'
128,'Juárez','07'
129,'La Concordia','07'
130,'La Grandeza','07'
131,'La Independencia','07'
132,'La Libertad','07'
133,'La Trinitaria','07'
134,'Larráinzar','07'
135,'Las Margaritas','07'
136,'Las Rosas','07'
137,'Mapastepec','07'
138,'Maravilla Tenejapa','07'
139,'Marqués de Comillas','07'
140,'Mazapa de Madero','07'
141,'Mazatán','07'
142,'Metapa','07'
143,'Mitontic','07'
144,'Montecristo de Guerrero','07'
145,'Motozintla','07'
146,'Nicolás Ruíz','07'
147,'Ocosingo','07'
148,'Ocotepec','07'
149,'Ocozocoautla de Espinosa','07'
150,'Ostuacán','07'
151,'Osumacinta','07'
152,'Oxchuc','07'
153,'Palenque','07'
154,'Pantelhó','07'
155,'Pantepec','07'
156,'Pichucalco','07'
157,'Pijijiapan','07'
158,'Pueblo Nuevo Solistahuacán','07'
159,'Rayón','07'
160,'Reforma','07'
161,'Sabanilla','07'
162,'Salto de Agua','07'
163,'San Andrés Duraznal','07'
164,'San Cristóbal de las Casas','07'
165,'San Fernando','07'
166,'San Juan Cancuc','07'
167,'San Lucas','07'
168,'Santiago el Pinar','07'
169,'Siltepec','07'
170,'Simojovel','07'
171,'Sitalá','07'
172,'Socoltenango','07'
173,'Solosuchiapa','07'
174,'Soyaló','07'
175,'Suchiapa','07'
176,'Suchiate','07'
177,'Sunuapa','07'
178,'Tapachula','07'
179,'Tapalapa','07'
180,'Tapilula','07'
181,'Tecpatán','07'
182,'Tenejapa','07'
183,'Teopisca','07'
184,'Tila','07'
185,'Tonalá','07'
186,'Totolapa','07'
187,'Tumbalá','07'
188,'Tuxtla Chico','07'
189,'Tuxtla Gutiérrez','07'
190,'Tuzantán','07'
191,'Tzimol','07'
192,'Unión Juárez','07'
193,'Venustiano Carranza','07'
194,'Villa Comaltitlán','07'
195,'Villa Corzo','07'
196,'Villaflores','07'
197,'Yajalón','07'
198,'Zinacantán','07'
199,'Ahumada','08'
200,'Aldama','08'
201,'Allende','08'
202,'Aquiles Serdán','08'
203,'Ascensión','08'
204,'Bachíniva','08'
205,'Balleza','08'
206,'Batopilas','08'
207,'Bocoyna','08'
208,'Buenaventura','08'
209,'Camargo','08'
210,'Carichí','08'
211,'Casas Grandes','08'
212,'Chihuahua','08'
213,'Chínipas','08'
214,'Coronado','08'
215,'Coyame del Sotol','08'
216,'Cuauhtémoc','08'
217,'Cusihuiriachi','08'
